termid,docid
2957,6439
2977,1959
2979,7358
2989,8528
2991,2038
3000,5723
3016,2931
3018,594
3029,2227
3068,5525
3073,8719
3079,8845
3082,277
3101,7207
3107,4340
3107,5667
3118,9226
3158,7531
3176,6849
3194,8500
3204,8448
3214,8932
3217,110
3235,1635
3244,551
3246,9608
3251,4802
3256,7448
3256,4485
3266,9967
3274,7131
3283,9226
3286,200
3294,8120
3301,5688
3307,5998
3313,439
3326,2896
3326,4758
3331,4380
3365,3385
3375,2875
3383,8821
3384,8233
3388,1070
3393,9734
3406,3658
3407,3564
3414,507
3427,5387
3430,7012
3434,7308
3436,6210
3443,7290
3446,2084
3452,5169
3459,6970
3468,877
3480,6952
3480,1067
3493,8480
3498,890
3499,5545
3499,4881
3499,8403
3511,8868
3527,8373
3529,3727
3535,5168
3560,9412
3569,4465
3614,2997
3623,9337
3639,2753
3642,2538
3645,9474
3647,3157
3651,4773
3668,6419
3673,944
3675,2698
3677,3245
3721,581
3728,2030
3742,6819
3745,9482
3749,5519
3755,7606
3756,5889
3761,1773
3766,5341
3774,2886
3775,4979
3779,1328
3804,7242
3823,3168
3825,6019
3831,4546
3831,725
3838,8056
3855,9937
3856,7868
3872,1606
3891,8670
3903,4630
3908,6850
3910,5596
3953,4158
3979,2924
3981,5702
3983,3907
3997,4806
3999,5435
4002,3915
4009,1285
4012,7773
4013,2519
4027,866
4035,9404
4056,4945
4073,7570
4087,1861
4098,923
4117,3425
4135,2979
4136,439
4138,1145
4153,7456
4179,9695
4184,9581
4192,247
4201,9657
4206,2832
4207,2227
4213,2400
4215,6009
4243,2983
4244,3155
4260,6004
4263,3574
4264,9062
4272,2686
4286,2646
4291,9565
4302,6057
4303,3304
4316,7423
4344,3707
4349,3504
4365,345
4371,2523
4399,9638
4428,2739
4436,6580
4462,2175
4474,5390
4480,7024
4491,3464
4497,8063
4512,439
4520,2297
4522,6954
4534,5364
4535,962
4535,5834
4540,7663
4541,2781
4547,4884
4557,4982
4569,7340
4577,8964
4579,4666
4584,5652
4584,405
4586,1885
4610,2809
4613,2539
4617,1523
4625,5351
4635,8023
4636,3659
4642,443
4643,6401
4647,9439
4664,6075
4694,9726
4697,3653
4704,7555
4712,3995
4729,178
4748,5203
4752,80
4781,7691
4801,1993
4818,5828
4819,7042
4820,9530
4828,7870
4831,5683
4833,3344
4838,7423
4842,9522
4871,6260
4880,3624
4898,1563
4904,8845
4918,6504
4953,253
4959,8655
4965,483
4981,5110
4984,5052
5000,9265
