termid,docid
2789,8754
2790,4496
2799,9417
2799,1951
2806,4150
2808,5410
2812,1419
2823,2635
2850,8564
2854,5600
2867,2146
2874,3659
2892,8682
2901,8045
2901,8477
2902,9959
2912,8186
2919,3361
2919,113
2927,3946
2937,877
2944,1449
2947,8762
2948,9692
2948,3506
2949,8167
2953,4920
2978,4163
2984,4607
3017,7203
3017,797
3021,1511
3022,347
3026,8018
3034,8887
3043,9276
3046,6617
3048,9904
3050,4259
3057,7700
3080,4428
3104,8089
3108,8412
3125,3682
3134,7831
3144,4141
3151,2158
3157,5318
3158,8040
3171,7953
3208,5076
3235,2968
3250,6790
3251,3076
3256,8971
3278,9358
3296,6049
3308,5403
3317,8794
3317,832
3326,6858
3339,7349
3346,9828
3350,3009
3352,9950
3379,9980
3386,1041
3400,6170
3400,6121
3401,5538
3428,8132
3430,5099
3444,2065
3455,8851
3463,2774
3465,7447
3467,4256
3470,760
3476,5864
3480,3609
3483,4475
3484,3487
3488,5888
3496,7648
3497,8452
3500,7140
3522,8505
3526,6834
3560,7102
3562,1170
3576,486
3598,3694
3610,7224
3621,9261
3628,2297
3636,6428
3637,6155
3647,1515
3671,9560
3680,2434
3692,1552
3754,1920
3758,6951
3775,7575
3797,4220
3808,182
3810,476
3812,5718
3827,4148
3871,2562
3874,877
3875,3075
3886,4284
3890,8082
3893,6656
3903,1451
3905,6458
3916,6062
3917,4503
3928,5155
3935,3047
3938,996
3971,4526
3974,2994
3975,3518
3985,5230
3996,1197
3998,2490
4001,4901
4015,1157
4032,673
4037,5165
4042,628
4061,246
4070,2072
4092,9292
4099,637
4112,3537
4125,2770
4149,5488
4161,321
4176,7309
4179,4967
4183,6788
4189,80
4190,2395
4209,3337
4249,7887
4266,2805
4267,7739
4274,4228
4275,521
4277,7082
4286,4219
4287,4471
4287,9527
4294,5093
4295,5877
4320,3833
4343,9857
4345,7395
4364,7725
4373,5408
4380,9422
4394,4490
4401,2392
4401,722
4407,7651
4439,9477
4442,1233
4490,6607
4498,1172
4504,3991
4506,1994
4512,8029
4533,566
4540,1347
4547,2823
4574,8799
4582,9202
4605,5680
4611,6135
4612,3728
4619,3070
4630,1968
4643,3777
4655,8374
4671,3372
4672,259
4686,6900
4693,7152
4720,4037
4724,9865
4744,3138
4750,4657
4758,6494
4760,7677
4788,8130
4798,7178
4805,589
4818,9743
4830,6686
4859,2142
4867,4496
4880,2512
4914,8492
4916,3286
4924,4266
4929,1667
4951,6429
4954,2842
4978,5762
4993,6448
4997,9671
